,Name,GPA,Gender,Experience (yrs),School,Accepted
0,Efrain Russell,3.4602238328277646,1,4.0,MIT,0
1,Carlos Taylor,3.3636407555307404,1,0.0,MIT,1
2,John Hagler,3.0708670614951163,1,1.0,Penn,0
3,Steven Saccucci,3.456652015527144,1,0.0,MIT,0
4,Keith Kennerly,3.351706678238314,1,0.0,Penn,0
5,Jose Sampson,3.7772221383590625,1,1.0,Penn,1
6,Walter White,3.897557792957161,1,0.0,MIT,1
7,Paul Mueller,3.154739759205024,1,0.0,MIT,0
8,Bryan Dabadie,3.5200257534200805,1,2.0,MIT,0
9,Bertha Guerrero,3.586572441284331,0,2.0,Barnard,0
10,Michael Dick,3.1487570164118974,1,0.0,MIT,0
11,Steven Givens,3.456198659417546,1,1.0,USC,0
12,Hoyt Wright,3.4705624078083708,1,1.0,MIT,0
13,Robbie Gray,3.3495016104466657,1,2.0,USC,0
14,Charles Walsh,3.9306601830249797,1,2.0,USC,1
15,Donald Stevens,3.4125461029570188,1,3.0,USC,1
16,Barry Conley,3.0374621573062215,1,0.0,MIT,1
17,Richard Jones,3.3940616378699,1,0.0,USC,0
18,Antonio White,3.7202926779211514,1,0.0,Cornell,1
19,Donny Whitehead,2.9695352210179533,1,2.0,MIT,0
20,Reynaldo Green,3.8739522085460587,1,1.0,MIT,1
21,Marco Cortes,3.471680013437981,1,2.0,MIT,0
22,Stephen Petrich,3.312024206999296,1,2.0,Penn,0
23,Kenneth Cook,3.6213503641034572,1,0.0,USC,1
24,Javier Parrish,3.64852231631662,1,3.0,MIT,1
25,John Deberry,3.2690396235166297,1,0.0,MIT,0
26,Reginald Gaitor,3.822092230643368,1,3.0,USC,0
27,Bradley Frazier,3.612479425492664,1,3.0,Cornell,1
28,Luis Tunson,3.42293798026441,1,1.0,USC,1
29,Daniel Seagraves,3.8462281780528693,1,1.0,MIT,1
30,Joshua Rogers,3.5251977624149182,1,1.0,MIT,0
31,John Gonzales,3.1759300401910897,1,4.0,USC,1
32,Douglas Bullington,3.374110907784173,1,3.0,Penn,0
33,Juan White,3.05565769432356,1,1.0,MIT,0
34,Jeff Trevino,3.6820434585318935,1,0.0,MIT,1
35,Donald Witty,3.680217777681269,1,2.0,Penn,1
36,Robert Faulkner,3.3856511354305154,1,0.0,USC,1
37,Robert Eakes,2.8919292016727485,1,1.0,Penn,0
38,Steven Warren,3.7257075967131543,1,1.0,MIT,1
39,Lucas Boyer,3.6038908201255584,1,0.0,USC,1
40,Robert Jung,3.4210474406463214,1,0.0,MIT,1
41,John Rosenthal,3.5455420824502353,1,0.0,Penn,0
42,Paul Huntington,3.2800119946270776,1,2.0,Penn,0
43,Orlando Richmond,3.8154857036520147,1,2.0,MIT,0
44,Christopher Knowlton,3.582279055684059,1,3.0,Cornell,0
45,Nathaniel Scott,3.6055664084612857,1,2.0,MIT,1
46,Billy Abel,3.53495076700034,1,3.0,Cornell,0
47,Keith Davis,3.9437036856713235,1,0.0,MIT,0
48,Peter Smith,3.671724978058755,1,0.0,MIT,1
49,Brandon Reyes,3.6996804520144657,1,2.0,MIT,1
50,Erin Thomas,3.3196154221608976,1,2.0,MIT,0
51,Luther Stern,3.2092916520434343,1,1.0,MIT,0
52,Richard Voyles,3.076588484515319,1,1.0,MIT,0
53,John Carter,3.3287887603986017,1,0.0,USC,0
54,Jerry Maki,3.6840049471283383,1,2.0,MIT,1
55,Maritza Long,3.4273192446535288,0,2.0,Penn,0
56,Theodore Rhoades,3.1630856484891923,1,0.0,MIT,1
57,Frank Snow,3.1436863536894126,1,0.0,USC,0
58,Jason Coons,3.4212418152442563,1,0.0,USC,0
59,Rick Pritchett,3.406070028250158,1,3.0,USC,0
60,Christian Girdler,2.971514530007829,1,0.0,Penn,0
61,Enrique Schamber,3.234076159637932,1,0.0,USC,0
62,Bruce Kuykendall,3.516030852911889,1,2.0,USC,0
63,Reggie Carter,3.5691165538816874,1,0.0,USC,0
64,Ronnie Garza,3.2701622000621184,1,2.0,Penn,0
65,Clinton Adams,3.7818527018845924,1,0.0,Penn,1
66,Andrew Adams,3.721936941000904,1,0.0,Penn,1
67,David Osteen,3.14035637363816,1,1.0,Cornell,0
68,Avery Ballard,3.564195226581478,1,2.0,Cornell,1
69,Edwin Atkins,3.607076276746814,1,0.0,MIT,0
70,Donald Mayer,3.7129508539430454,1,0.0,USC,1
71,Albert Raschke,3.2160827304398776,1,1.0,MIT,0
72,Michael Williams,3.030252342299391,1,0.0,USC,0
73,William Mcwilliams,3.845107569441197,1,0.0,Cornell,1
74,James Burdick,3.4029547821667583,1,1.0,USC,0
75,John Bailey,3.1735157921457953,1,1.0,MIT,0
76,Johnie Vick,3.6060954680196353,1,0.0,USC,1
77,Chris Terres,3.8132432238666145,1,1.0,USC,1
78,Todd Stec,3.5138020434697412,1,1.0,USC,1
79,Mack Cramer,3.363880999542874,1,3.0,USC,1
80,Dennis Garcia,3.7331240388925435,1,0.0,USC,1
81,Clarence Palmer,3.4938470995106914,1,3.0,MIT,0
82,George Litaker,3.1912175639984834,1,4.0,USC,0
83,Donald Alexander,3.4064979523593473,1,0.0,MIT,1
84,Kirk Hammond,3.535847881489314,1,1.0,USC,1
85,David Dowling,3.3990156347961724,1,2.0,MIT,0
86,Austin Russell,3.7895715829269987,1,1.0,Cornell,1
87,Christopher Lavertue,3.7404158625844626,1,3.0,MIT,0
88,Raul Shoaff,3.5631599715054394,1,0.0,MIT,0
89,Paul Bruner,3.513426119596601,1,3.0,Cornell,0
90,Richard Madsen,3.8077009521578926,1,1.0,USC,1
91,Jason Scranton,3.596990789362983,1,0.0,Penn,0
92,Ronald Tam,3.481661868530563,1,3.0,USC,0
93,Kelly Glennon,3.543586154388427,1,3.0,MIT,0
94,Ryan Suk,3.7742030470441352,1,0.0,Cornell,1
95,Johnny Smith,3.2369208997376875,1,0.0,MIT,0
96,Stuart Matava,3.6329740264339545,1,0.0,USC,1
97,Lee Tryon,3.633950270699536,1,1.0,MIT,0
98,Laura Hirtz,3.430336599923098,0,1.0,Wellesley,0
99,Timothy Dabney,3.198649267834252,1,0.0,Penn,0
100,Patrick Hooten,3.9174108698715067,1,1.0,MIT,1
101,Edward Hammond,3.5788138181642664,1,3.0,MIT,1
102,Daniel Johnson,3.6976327563760574,1,0.0,USC,0
103,Michael Daum,3.322064426491304,1,2.0,USC,1
104,Marshall Berube,3.343585649620133,1,0.0,Penn,0
105,Raymond Aveado,3.6078778959248705,1,0.0,USC,1
106,Billy Mcmurray,3.582115483819326,1,2.0,USC,0
107,Shawn Kunzler,3.4399521294871422,1,0.0,MIT,1
108,Galen Hixson,3.226869423578552,1,3.0,USC,1
109,Virgil Cortes,3.1871111659568765,1,2.0,USC,0
110,Eddie Stancil,3.599478644669513,1,2.0,MIT,0
111,Jill Davis,3.366762804434392,0,0.0,Wellesley,0
112,Alton Boswell,3.42769685438574,1,1.0,USC,0
113,Patricia Bouldin,3.860019619357158,0,4.0,Barnard,0
114,Willie Dixon,3.2531073486116586,1,0.0,Cornell,0
115,Dean Huff,3.4984866122161686,1,0.0,Penn,1
116,Stephen Cornelius,3.356907289224579,1,3.0,USC,0
117,Samuel Wykes,3.664032363142577,1,3.0,Penn,1
118,Larry Mills,3.2395323614511575,1,2.0,USC,0
119,Patrick Brooks,3.5309802472186806,1,1.0,USC,0
120,Isidro Sowinski,3.66178336804428,1,0.0,Penn,1
121,Charles Macgregor,3.747885832903708,1,0.0,USC,0
122,Robert Humphrey,3.813145338191402,1,4.0,Penn,1
123,Gregory Camp,3.4654653075659967,1,2.0,Cornell,0
124,James Scott,3.8568803260296045,1,0.0,Penn,0
125,Edwin Sporle,3.766176230401855,1,0.0,USC,1
126,William Hudson,3.483121169858659,1,1.0,MIT,0
127,David Edwards,3.8275176960024453,1,0.0,Penn,1
128,Gerardo Tucker,3.183147187681698,1,0.0,MIT,1
129,Jamie Hales,3.0211532985438767,1,2.0,USC,0
130,Donald Gambill,3.561305242487243,1,1.0,MIT,0
